category,id,title,description,description2
Brazilian_telenovelas,45602117,Babilônia (TV series),"Babilônia (Babylon Hill; International title: Ambitious Women) is a Brazillan primetime telenovela produced and broadcast by Rede Globo. It premiered on March 16, 2015, replacing Império at  9:10 p.m. / 10:25 p.m. (BRT/AMT).,Written by Gilberto Braga, Ricardo Linhares and João Ximenes Braga, with collaboration of Ângela Carneiro, Chico Soares, Fernando Rebello, João Brandão, Luciana Pessanha, Maria Camargo and Sérgio Marques; and directed by Cristiano Marques, Pedro Peregrino, Luisa Lima, Giovanna Machline, Maria de Médicis and Dennis Carvalho.Features performances of Camila Pitanga, Thiago Fragoso, Gabriel Braga Nunes, Marcos Palmeira, Fernanda Montenegro, Nathalia Timberg, Cássio Gabus Mendes, Arlete Salles, Tainá Müller, Thiago Martins, Bruno Gissoni, Chay Suede, Sophie Charlotte, Bruno Gagliasso, Adriana Esteves and Glória Pires in the main roles.,With a history considered 'bold' by critics, addressing bold themes for the genre, such as homosexuality and racism, has been rejected by the majority of the public. To date, is the smaller audience of a 9PM telenovela in all time, with an average of 27.7 points in the first 10 episodes.",
Brazilian_telenovelas,50861438,Baila Comigo,"Baila Comigo is a Brazilian telenovela produced and broadcast by Rede Globo. It premiered on 16 March 1981 and ended on 25 September 1981, with a total of 167 episodes. It's the twenty sixth 'novela das oito' to be aired on the timeslot. It is created and written by Manoel Carlos and directed by Roberto Talma.",
Brazilian_telenovelas,37192021,Balacobaco (TV series),"Balacobaco (Literally English: Mess, International title: Tricky Business or Los Tramposos for Spanish markets) is a Brazilian primetime telenovela created, developed and written by Giselle Joras and directed by Leonardo Miranda and Edson Spinello.,The series premiered on Thursday, October 4, 2012 at 10:15 p.m. (BRT/AMT) on Rede Record, replacing Máscaras, and ended on Monday, May 20, 2013, being replaced by Dona Xepa.Juliana Silveira and Victor Pecoraro stars the protagonists, while Bruno Ferrari and Bárbara Borges star as the main antagonists.",
Brazilian_telenovelas,54547318,Bambolê,"Bambolê is a Brazilian telenovela produced and displayed at the time of 18 hours by Rede Globo, September 7, 1987 to March 25, 1988, in 172 chapters. Substitute Direito de Amar and be succeeded by Fera Radical.Written by Daniel Más, with collaboration of Ana Maria Moretzsohn, with general direction of Wolf Maya, Atílio Riccó and Ignácio Coqueiro, with direction of Production of Carlos Henrique de Cerqueira Leite and report of romance of Carolina Nabuco, Chama e Cinzas, was the 34th 'novel of the six' shown by the station.",
Brazilian_telenovelas,42487867,Barriga de Aluguel,Barriga de Aluguel (English: Belly Rent) is a Brazilian telenovela produced and broadcast by Rede Globo from 20 August 1990 to 31 May 1991 in 243 episodes. It was created by Glória Perez in collaboration with Leila Miccolis and directed by Wolf Maya.,
Brazilian_telenovelas,36251271,Bebê a Bordo,"Bebê a Bordo (Baby on Board in English) is a Brazilian telenovela produced and broadcast on Rede Globo at a timeslot of 7:00pm, from June 13, 1988 to February 11, 1989, consisting of 209 episodes.",
Brazilian_telenovelas,20259797,O Beijo do Vampiro,"O Beijo do Vampiro (A Vampire's Kiss) is a Brazilian telenovela that was produced and aired by TV Globo from August 26, 2002 to May 3, 2003, totaling 215 chapters, substituting Desejos de Mulher and preceding Kubanacan.",
Brazilian_telenovelas,27239226,Bela, a Feia,"Bela, a Feia (Ugly Bela) is a Brazilian telenovela originally aired on Rede Record from August 4, 2009, to June 2, 2010. A co-production with Televisa, it was based on the Colombian telenovela Yo soy Betty, la fea, as well as the American series Ugly Betty.,On June 1, 2010, the penultimate episode of Bela, a Feia made Record lead the audience ratings against Rede Globo in both São Paulo and Rio de Janeiro, a feat rarely achieved in Brazilian television viewership."
Brazilian_telenovelas,54626025,Belaventura,"Belaventura is a Brazilian telenovela produced by Casablanca and broadcast by RecordTV. Created and written by Gustavo Reiz. It premiered on July 25, 2017, replacing the rerun of A Escrava Isaura, and ended on January 26, 2018, replaced by the rerun of Os Dez Mandamentos. It stars Bernardo Velasco, Rayanne Morais, and Camila Rodrigues.,Set in medieval times, the telenovela shows a history of love established between a prince and a plebeian, who survives in a chaotic kingdom called Belaventura, where numerous conflicts and wars are proclaimed and whose castle is surrounded by guards.",
Brazilian_telenovelas,19040245,Beleza Pura,"Beleza Pura (English: Pure Beauty) is a Brazilian soap opera produced and broadcast by Rede Globo from February 18 to September 12, 2008, with a total of 179 chapters, substituting Sete Pecados and preceding Três Irmãs at the 19h timeslot. It was written by the newcomer Andrea Maltarolli and co-written by Emanoel Jacobina (author of the soap opera Coração de Estudante), Ricardo Hoffstetter, Daisy Chaves, Flávia Bessone, and João Brandão, with text supervision by Silvio de Abreu, and general direction by Rogério Gomes.",
